y,u
0.015625,-0.01201661039
0.046875,-0.03269234818
0.078125,-0.05097297461
0.109375,-0.06749311155
0.140625,-0.08274587325
0.171875,-0.09710345863
0.203125,-0.1108153601
0.234375,-0.1240117279
0.265625,-0.1367041175
0.296875,-0.1487738336
0.328125,-0.1599840612
0.359375,-0.1699854666
0.390625,-0.1783253507
0.421875,-0.1844665091
0.453125,-0.1878135237
0.484375,-0.1877503773
0.515625,-0.1836811734
0.546875,-0.1750836422
0.578125,-0.1615508521
0.609375,-0.1428285342
0.640625,-0.1188413458
0.671875,-0.08963670276
0.703125,-0.05524009033
0.734375,-0.01544997774
0.765625,0.03048561432
0.796875,0.08448471836
0.828125,0.1501629166
0.859375,0.2331111898
0.890625,0.3410749578
0.921875,0.4830499483
0.953125,0.6657372693
0.984375,0.8854540857
