iteration,continuity,u_momentum,v_momentum,pressure_correction,max_velocity_correction
1,0.0002353578356,7.658958582e-09,1e-08,9.016904156e-11,0.4841488037
2,0.0001610516886,2.17742965e-09,2.852928552e-09,7.344439762e-11,0.1486341886
3,3.802070065e-05,2.017730442e-09,3.183222232e-09,8.169822138e-11,0.1676744353
4,5.469793076e-05,2.077843075e-09,3.710557788e-09,7.539195993e-11,0.1328884544
5,6.699841838e-05,2.036415511e-09,3.229188796e-09,9.368950734e-11,0.06733084991
6,5.723569231e-05,1.912297936e-09,2.813787309e-09,9.636344621e-11,0.039931714
7,3.94188919e-05,1.874633955e-09,2.486721606e-09,8.47638778e-11,0.03441976608
8,2.413073957e-05,1.901467376e-09,2.466017647e-09,9.226827074e-11,0.02966095065
9,1.362261118e-05,1.953598977e-09,2.561432331e-09,8.467381995e-11,0.02588428622
10,7.631956522e-06,2.008889328e-09,2.70033792e-09,8.70817624e-11,0.02288966731
11,4.429647461e-06,2.060654445e-09,2.812657895e-09,8.11584886e-11,0.02047180782
12,3.041255396e-06,2.10412226e-09,2.89231981e-09,9.36669645e-11,0.0184668916
13,2.502487212e-06,2.143149792e-09,2.944139097e-09,8.492446016e-11,0.01677718692
14,2.273841026e-06,2.180183179e-09,2.970164397e-09,9.580781809e-11,0.01531566522
15,2.140259041e-06,2.214539888e-09,3.006981456e-09,8.982171856e-11,0.01418913907
16,2.022955781e-06,2.252315003e-09,3.046589015e-09,8.577106854e-11,0.01340077033
17,1.908458483e-06,2.293454336e-09,3.086303952e-09,8.133490887e-11,0.01265911918
18,1.792027115e-06,2.335388131e-09,3.119602211e-09,7.864752929e-11,0.01196211212
19,1.678743925e-06,2.377700692e-09,3.162714825e-09,7.666427807e-11,0.01130831522
20,1.570355153e-06,2.421903831e-09,3.208250983e-09,7.723639755e-11,0.01069665096
21,1.468767231e-06,2.467693949e-09,3.257834221e-09,7.531231926e-11,0.01012552351
22,1.376243163e-06,2.515127064e-09,3.309902341e-09,9.844115529e-11,0.009592492152
23,1.292041531e-06,2.564785734e-09,3.353475765e-09,7.783877161e-11,0.00909433482
24,1.217287314e-06,2.613959285e-09,3.394115659e-09,8.25483719e-11,0.008628212773
25,1.150522467e-06,2.663702428e-09,3.436005508e-09,8.424159155e-11,0.008191389548
26,1.089685121e-06,2.713927263e-09,3.478880781e-09,8.58558619e-11,0.007782011667
27,1.032032115e-06,2.764798328e-09,3.523982848e-09,8.768333615e-11,0.007401288897
28,9.78487729e-07,2.816754893e-09,3.574054876e-09,8.898809971e-11,0.007046932583
29,9.258185465e-07,2.871188042e-09,3.609362712e-09,8.869330158e-11,0.006714370328
30,8.759828734e-07,2.924464434e-09,3.652310759e-09,8.763403095e-11,0.006470470341
31,8.318588305e-07,2.979120377e-09,3.697128594e-09,8.62554127e-11,0.006237841698
32,7.91489039e-07,3.034574292e-09,3.742800492e-09,8.469276951e-11,0.006012646351
33,7.543391422e-07,3.090394315e-09,3.791284092e-09,8.217604351e-11,0.005796239099
34,7.207300038e-07,3.146305169e-09,3.842819857e-09,8.041191157e-11,0.005587355311
35,6.890766923e-07,3.203342647e-09,3.89555023e-09,7.876388962e-11,0.005388421088
36,6.592891463e-07,3.26095272e-09,3.948510869e-09,7.678093821e-11,0.005197411142
37,6.312549965e-07,3.318933095e-09,4.001172808e-09,7.490898552e-11,0.005013939087
38,6.041170356e-07,3.377258139e-09,4.053927497e-09,7.380231259e-11,0.004837762316
39,5.783867769e-07,3.436032032e-09,4.105760275e-09,7.24632754e-11,0.004668822246
40,5.548360083e-07,3.495835355e-09,4.150879395e-09,7.147852729e-11,0.004506401963
