y,u
0.015625,-0.01207610183
0.046875,-0.0329610524
0.078125,-0.05134411348
0.109375,-0.06792531533
0.140625,-0.08323392992
0.171875,-0.09764420727
0.203125,-0.1114021358
0.234375,-0.1246352301
0.265625,-0.1373534406
0.296875,-0.1494350032
0.328125,-0.1606399858
0.359375,-0.1706164748
0.390625,-0.1789098619
0.421875,-0.1849828959
0.453125,-0.1882430324
0.484375,-0.1880767684
0.515625,-0.1838946973
0.546875,-0.1751860734
0.578125,-0.1615559102
0.609375,-0.142761255
0.640625,-0.1187298318
0.671875,-0.08950633067
0.703125,-0.0551126523
0.734375,-0.01533373594
0.765625,0.03061865418
0.796875,0.08468291856
0.828125,0.1504606976
0.859375,0.2335648036
0.890625,0.341756483
0.921875,0.4839888337
0.953125,0.6667175329
0.984375,0.8855715185
