x,v
0.015625,0.02843282241
0.046875,0.07370610494
0.078125,0.1081126644
0.109375,0.1329405238
0.140625,0.1496810496
0.171875,0.1597806921
0.203125,0.1644932226
0.234375,0.1648149726
0.265625,0.1614785667
0.296875,0.1549807909
0.328125,0.1456259261
0.359375,0.133572913
0.390625,0.1188806575
0.421875,0.1015500015
0.453125,0.08156344417
0.484375,0.05892441848
0.515625,0.0336963387
0.546875,0.006038682389
0.578125,-0.02376123919
0.609375,-0.05528101186
0.640625,-0.08797538227
0.671875,-0.1209532038
0.703125,-0.1529218026
0.734375,-0.1821335988
0.765625,-0.2063464177
0.796875,-0.2228319402
0.828125,-0.2284958694
0.859375,-0.2202145679
0.890625,-0.1955316472
0.921875,-0.1538111901
0.953125,-0.09758166164
0.984375,-0.03291425603
