iteration,continuity,u_momentum,v_momentum,pressure_correction,max_velocity_correction
1,1.384788301e-13,4.05934768e-10,1e-08,8.0035477e-11,0.07804742414
2,3.818172661e-14,6.217956671e-10,9.087922796e-10,6.123030305e-11,0.06740954844
3,1.933795954e-14,2.046831833e-09,1.690175535e-09,5.490325218e-11,0.05690490555
4,9.726285363e-15,6.636229811e-09,7.285780671e-09,4.240026779e-11,0.04779006712
5,1.42682268e-14,1.801592247e-10,3.745953761e-10,7.696669626e-11,0.04003965989
6,1.553366903e-14,4.931749717e-10,8.891610626e-10,9.407926245e-11,0.03347096672
7,1.337178515e-14,2.647027887e-10,1.739625447e-09,9.481651746e-11,0.0279086971
8,9.162870386e-15,1.340818556e-09,7.406496811e-09,7.412659066e-11,0.02320980257
9,8.178646901e-15,4.423600191e-11,5.298519314e-11,6.477762037e-11,0.01925761016
10,8.947115848e-15,3.110807581e-09,4.962853426e-11,7.573219378e-11,0.01595239412
11,8.946562736e-15,2.412433679e-09,5.046112192e-11,8.69256384e-11,0.01340712726
12,7.697186174e-15,2.336740978e-09,5.505551091e-11,8.355000783e-11,0.01123402422
13,6.152817683e-15,2.415604071e-09,6.124673257e-11,7.541576333e-11,0.009412806653
14,3.830469335e-15,2.513450628e-09,6.701263958e-11,5.153626097e-11,0.008370986725
15,2.339963245e-15,2.601109085e-09,9.63155286e-09,3.72910988e-11,0.007403107526
16,1.398114277e-15,2.675584356e-09,8.477756064e-09,2.631924241e-11,0.006522215796
17,9.179137231e-16,2.742566493e-09,7.782163021e-09,1.978963132e-11,0.006050779097
18,7.410102568e-16,2.797420566e-09,7.321416785e-09,1.803207562e-11,0.005600545505
19,6.529073953e-16,2.843929967e-09,7.002367795e-09,1.808571815e-11,0.005151823399
20,7.533316215e-16,2.884600533e-09,6.795791006e-09,2.281936591e-11,0.00471769565
21,8.897450071e-16,2.920941184e-09,6.763886925e-09,3.025939449e-11,0.004306641275
22,1.030129707e-15,2.946157891e-09,6.802282291e-09,3.987369061e-11,0.003922505387
