iteration,continuity,u_momentum,v_momentum,pressure_correction,max_velocity_correction
1,7.098638411e-05,9.411448782e-09,1e-08,7.593939176e-11,0.2516204437
2,6.607740477e-05,1.767786973e-09,1.147359442e-09,7.507748255e-11,0.1327213913
3,5.334190433e-05,1.986943947e-09,9.334655442e-09,7.72487779e-11,0.08529816667
4,4.17066092e-05,2.276738666e-09,2.039706846e-09,6.958051176e-11,0.05985551323
5,3.270823916e-05,2.072900439e-09,2.342568394e-09,8.842256455e-11,0.04417327228
6,2.661219437e-05,2.489347607e-09,6.694251037e-09,6.818412934e-11,0.03370755964
7,2.179999328e-05,2.668525402e-09,5.751965318e-09,8.014737991e-11,0.02653004991
8,1.761524988e-05,7.956253797e-10,6.163164035e-09,7.512201121e-11,0.02350072139
9,1.407815508e-05,4.104120799e-09,7.662739816e-09,6.737067834e-11,0.02076665838
10,1.118367691e-05,1.092541588e-09,9.277524029e-09,7.4090873e-11,0.01831118947
11,8.977726385e-06,1.991940805e-09,8.362312612e-10,6.909731088e-11,0.0161318612
12,7.279311605e-06,1.971622696e-09,9.071272536e-09,5.97310013e-11,0.01422110148
13,6.099046233e-06,1.763800365e-09,7.042432828e-09,5.68531628e-11,0.01255085196
14,5.310884357e-06,1.988488e-09,5.639979278e-09,9.873924839e-11,0.01109016063
15,4.671811789e-06,3.183263037e-09,9.73815156e-09,9.108048606e-11,0.009812037808
16,4.15375309e-06,3.916206405e-09,7.577550273e-09,8.518370696e-11,0.008692283953
17,3.730122546e-06,3.541706115e-09,8.430575378e-09,7.919028448e-11,0.007874029966
18,3.359958022e-06,3.051179705e-09,9.568173123e-09,7.308154945e-11,0.007252007123
19,3.038840548e-06,2.859677016e-09,5.30768655e-10,6.751142445e-11,0.006675558998
20,2.768074114e-06,2.928121347e-09,5.069065249e-10,6.288054063e-11,0.006143676145
21,2.528079218e-06,3.117260005e-09,9.956953081e-09,5.959151973e-11,0.005654381537
22,2.30744053e-06,3.322753616e-09,9.780737548e-09,6.451448255e-11,0.00520528775
23,2.111735047e-06,3.498754263e-09,9.625743632e-09,7.081509332e-11,0.004793812574
24,1.931059652e-06,3.634760061e-09,9.478067182e-09,7.429511203e-11,0.004417260222
25,1.763747868e-06,3.731515549e-09,9.37755816e-09,7.320882859e-11,0.00407297961
26,1.615227387e-06,3.791603672e-09,9.131486872e-09,7.480143776e-11,0.003758763773
27,1.481018071e-06,3.823792769e-09,8.925382089e-09,7.569605068e-11,0.003519083028
28,1.363921287e-06,3.835267351e-09,8.774380619e-09,7.803243784e-11,0.003318174414
29,1.257666706e-06,3.832115655e-09,8.688846128e-09,8.242639859e-11,0.003127218067
30,1.161055892e-06,3.818362088e-09,8.618686709e-09,8.774159968e-11,0.002946269814
31,1.072664339e-06,3.800436643e-09,8.470784561e-09,9.128799111e-11,0.002772901191
32,9.925251917e-07,3.784636006e-09,8.66156362e-09,9.266135645e-11,0.002604418468
33,9.222859433e-07,3.775028613e-09,8.922856637e-09,9.009478802e-11,0.002435370531
34,8.64263239e-07,3.765325906e-09,9.167747422e-09,9.054924406e-11,0.002285982207
35,8.146582181e-07,3.752812568e-09,9.431533427e-09,9.573762963e-11,0.002149744531
36,7.71448147e-07,3.738114081e-09,9.681982955e-09,9.726577211e-11,0.002023643244
37,7.318194176e-07,3.72170987e-09,9.851517665e-09,9.925438115e-11,0.001906183973
38,6.843180735e-07,3.704635252e-09,9.809815425e-09,9.984430617e-11,0.001796167623
39,6.363331164e-07,3.688939671e-09,9.793368585e-09,4.497643557e-11,0.00169248766
40,5.978736977e-07,3.672056304e-09,9.741338551e-09,9.911952471e-11,0.001595062092
41,5.650465434e-07,3.653260012e-09,9.645604994e-09,4.476392992e-11,0.001503406385
42,5.376815562e-07,3.63322926e-09,9.517770877e-09,4.731211404e-11,0.001417505394
43,5.123754899e-07,3.612341398e-09,9.377075874e-09,4.879133146e-11,0.001337145591
44,4.893431492e-07,3.590869876e-09,9.242713094e-09,5.027257602e-11,0.00126513065
45,4.693917015e-07,3.56903627e-09,9.127370559e-09,5.064007314e-11,0.001198489386
46,4.494993595e-07,3.547027148e-09,9.035592128e-09,5.024096542e-11,0.001135751107
47,4.299887412e-07,3.525001816e-09,8.966490802e-09,9.742778116e-11,0.001076636372
48,4.109813845e-07,3.503096912e-09,8.917307443e-09,9.389808539e-11,0.001020897246
49,3.927589318e-07,3.48142995e-09,8.885515683e-09,9.030807893e-11,0.0009683106047
50,3.752346188e-07,3.460100299e-09,8.869320395e-09,8.69145834e-11,0.0009186734856
51,3.583319911e-07,3.439192174e-09,8.867347186e-09,8.394839426e-11,0.0008717996119
52,3.412714233e-07,3.418775979e-09,8.891100443e-09,8.13468734e-11,0.0008275083536
53,3.225772452e-07,3.39866819e-09,8.943169212e-09,7.919563268e-11,0.0007854895596
54,3.044235047e-07,3.378815382e-09,8.978801962e-09,7.760588535e-11,0.0007455750207
55,2.890051101e-07,3.359553596e-09,9.015176889e-09,7.550290108e-11,0.0007078607815
56,2.748302813e-07,3.340897877e-09,9.057131913e-09,6.54619309e-11,0.000672260932
57,2.629491849e-07,3.322885078e-09,9.104771957e-09,9.436098195e-11,0.000638640086
58,2.518769069e-07,3.30554684e-09,9.156799366e-09,7.839425812e-11,0.0006068630544
59,2.411405979e-07,3.288903691e-09,9.211743544e-09,8.217915914e-11,0.0005768057546
60,2.308297157e-07,3.272965578e-09,9.268337723e-09,8.399918023e-11,0.0005483558831
61,2.209582048e-07,3.257733797e-09,9.325586095e-09,8.523051845e-11,0.0005214116002
62,2.114350227e-07,3.243202913e-09,9.382734697e-09,8.622190764e-11,0.0004958801223
63,2.022591766e-07,3.229362323e-09,9.439222619e-09,8.709542353e-11,0.0004716765158
64,1.934290802e-07,3.216197491e-09,9.494637416e-09,8.790261546e-11,0.000448722685
65,1.849525615e-07,3.203690904e-09,9.54867988e-09,8.866743966e-11,0.000427167571
66,1.768138118e-07,3.191822821e-09,9.601137476e-09,8.940095353e-11,0.0004070398681
67,1.690069699e-07,3.180571873e-09,9.651864488e-09,9.010682692e-11,0.0003878840204
68,1.615241274e-07,3.169915538e-09,9.700767038e-09,9.078269174e-11,0.000369650899
69,1.543592167e-07,3.159830541e-09,9.747791612e-09,9.14175006e-11,0.0003522940851
70,1.475036367e-07,3.150293167e-09,9.792916119e-09,9.197938496e-11,0.0003357696701
71,1.40941402e-07,3.141279535e-09,9.83614283e-09,9.236346981e-11,0.0003200360897
72,1.346692907e-07,3.132765814e-09,9.877492749e-09,9.206794669e-11,0.0003050539806
73,1.286778889e-07,3.124728404e-09,9.91700109e-09,8.52424297e-11,0.0002907860531
74,1.229442996e-07,3.117144087e-09,9.954713643e-09,8.359444219e-11,0.000277196975
75,1.174583621e-07,3.109990147e-09,9.990683851e-09,9.233965826e-11,0.0002642532629
76,1.122096375e-07,3.103244466e-09,5.411612436e-10,9.48252251e-11,0.0002519235473
77,1.071893957e-07,3.096885612e-09,5.41305041e-10,9.587283165e-11,0.0002401770179
78,1.023879718e-07,3.090892868e-09,5.41435571e-10,9.66119068e-11,0.0002289854881
79,9.779639297e-08,3.085246282e-09,5.415540552e-10,9.722316783e-11,0.000218321934
80,9.340744889e-08,3.079926712e-09,5.416616258e-10,9.776859121e-11,0.000208160709
81,8.921059924e-08,3.074915838e-09,5.417593126e-10,9.82699673e-11,0.0001984774804
82,8.520029804e-08,3.070196164e-09,5.418480466e-10,9.873708227e-11,0.0001898476514
83,8.136662734e-08,3.065751017e-09,5.419286686e-10,9.917499214e-11,0.0001815693915
84,7.770139688e-08,3.061564538e-09,5.420019379e-10,9.958663004e-11,0.0001736277449
85,7.419748125e-08,3.057621672e-09,5.420685408e-10,9.997392017e-11,0.0001660110382
86,7.084803804e-08,3.053908145e-09,5.421290977e-10,5.360318951e-11,0.000158707838
87,6.764649857e-08,3.050410445e-09,5.421841701e-10,5.373383668e-11,0.0001517069601
88,6.45865584e-08,3.047115798e-09,5.422342659e-10,5.385442044e-11,0.0001449974775
89,6.166216787e-08,3.044012138e-09,5.422798452e-10,5.39655952e-11,0.0001385687273
90,5.886752274e-08,3.041088082e-09,5.423213245e-10,5.406797547e-11,0.0001324103157
91,5.619705497e-08,3.038332899e-09,5.423590812e-10,5.416212301e-11,0.0001265121212
92,5.36454238e-08,3.035736484e-09,5.423934571e-10,5.424857093e-11,0.0001208642978
93,5.120755466e-08,3.033289321e-09,5.424247623e-10,5.432781418e-11,0.0001154572764
94,4.887893178e-08,3.030982463e-09,5.424532775e-10,5.440031955e-11,0.0001102817648
95,4.665432696e-08,3.028807495e-09,5.424792575e-10,5.446652305e-11,0.0001053287478
96,4.45292333e-08,3.026756509e-09,5.425029332e-10,5.452683643e-11,0.0001005894859
97,4.249932984e-08,3.024822078e-09,5.425245139e-10,5.458164153e-11,9.605551292e-05
98,4.056047435e-08,3.022997225e-09,5.425441896e-10,5.463130584e-11,9.171863401e-05
99,3.870869651e-08,3.021275402e-09,5.425621326e-10,5.467616242e-11,8.757092209e-05
100,3.694019118e-08,3.019650459e-09,5.425784994e-10,5.471653601e-11,8.360471428e-05
101,3.525138601e-08,3.018116629e-09,5.425934319e-10,5.475272316e-11,7.981260779e-05
102,3.363880725e-08,3.016668498e-09,5.426070589e-10,5.478500592e-11,7.618745539e-05
103,3.209898636e-08,3.015300985e-09,5.426194973e-10,5.481365181e-11,7.272236059e-05
104,3.062872073e-08,3.014009324e-09,5.426308535e-10,5.483890494e-11,6.941067247e-05
105,2.922494279e-08,3.012789045e-09,5.42641224e-10,5.486100331e-11,6.624598034e-05
106,2.788379875e-08,3.011635984e-09,5.426506952e-10,5.488317825e-11,6.322210185e-05
107,2.660235906e-08,3.010546197e-09,5.426593468e-10,5.490615262e-11,6.033308586e-05
108,2.537918827e-08,3.009515953e-09,5.426672524e-10,5.492598968e-11,5.757321359e-05
109,2.421196289e-08,3.008541794e-09,5.42674478e-10,5.494226068e-11,5.493698126e-05
110,2.309817608e-08,3.00762047e-09,5.426810835e-10,5.495526163e-11,5.241909513e-05
111,2.203536281e-08,3.00674893e-09,5.426871235e-10,5.496539735e-11,5.001446565e-05
112,2.102116503e-08,3.005924309e-09,5.426926476e-10,5.497302442e-11,4.771820179e-05
113,2.005334376e-08,3.005143915e-09,5.426977008e-10,5.497845155e-11,4.552560516e-05
114,1.91297747e-08,3.004405223e-09,5.427023244e-10,5.498193157e-11,4.343216424e-05
115,1.824857049e-08,3.00370586e-09,5.427065556e-10,5.498367692e-11,4.14335484e-05
116,1.740780743e-08,3.003043596e-09,5.427104287e-10,5.498387469e-11,3.952560214e-05
117,1.660549335e-08,3.002416338e-09,5.427139746e-10,5.498268863e-11,3.770433919e-05
118,1.583988805e-08,3.001822117e-09,5.427172217e-10,5.498026064e-11,3.596593683e-05
119,1.510933075e-08,3.001259083e-09,5.427201957e-10,5.497671273e-11,3.430673022e-05
120,1.441223569e-08,3.000725496e-09,5.427229202e-10,5.497216991e-11,3.27232068e-05
121,1.37470883e-08,3.000219721e-09,5.427254167e-10,5.496672773e-11,3.12120009e-05
122,1.311244171e-08,2.999740219e-09,5.427277046e-10,5.496048294e-11,2.976988837e-05
123,1.250691359e-08,2.999285542e-09,5.427298018e-10,5.495352382e-11,2.839378135e-05
124,1.192918318e-08,2.998854328e-09,5.427317246e-10,5.494593228e-11,2.708072323e-05
125,1.137798857e-08,2.998445294e-09,5.42733488e-10,5.493778061e-11,2.582788362e-05
126,1.085212408e-08,2.998057233e-09,5.427351053e-10,5.49291377e-11,2.463255361e-05
127,1.035043778e-08,2.997689006e-09,5.427365892e-10,5.492006508e-11,2.349214098e-05
128,9.871829176e-09,2.997339544e-09,5.427379507e-10,5.491062302e-11,2.240416574e-05
129,9.415246956e-09,2.997007835e-09,5.427392004e-10,5.490086613e-11,2.13662556e-05
130,8.979686846e-09,2.99669293e-09,5.427403476e-10,5.48908469e-11,2.03761418e-05
131,8.564189571e-09,2.99639393e-09,5.42741401e-10,5.488060878e-11,1.943165483e-05
132,8.16197428e-09,2.996106837e-09,5.42742362e-10,5.484923753e-11,1.853074189e-05
133,7.780519455e-09,2.995833089e-09,5.427432894e-10,5.480294277e-11,1.767139515e-05
134,7.417386119e-09,2.995572911e-09,5.427441992e-10,5.475500172e-11,1.68517172e-05
135,7.075257894e-09,2.995325662e-09,5.427450804e-10,5.471163469e-11,1.606990065e-05
136,6.750189887e-09,2.995090694e-09,5.427459215e-10,5.467439676e-11,1.532421584e-05
137,6.439421519e-09,2.994867381e-09,5.427467158e-10,5.464300149e-11,1.461301005e-05
138,6.142478511e-09,2.994655126e-09,5.427474614e-10,5.461656097e-11,1.393470495e-05
139,5.85886761e-09,2.994453361e-09,5.427481586e-10,5.45941044e-11,1.328779324e-05
140,5.588413226e-09,2.994261546e-09,5.427488093e-10,5.457476595e-11,1.267083528e-05
141,5.330365329e-09,2.994079169e-09,5.42749416e-10,5.455784167e-11,1.208245596e-05
142,5.083976284e-09,2.993905745e-09,5.427499814e-10,5.454277514e-11,1.152134183e-05
143,4.848786778e-09,2.993740818e-09,5.427505081e-10,5.452915165e-11,1.098623839e-05
144,4.624337118e-09,2.993583952e-09,5.427509988e-10,5.451666252e-11,1.047594761e-05
145,4.410172992e-09,2.993434736e-09,5.427514561e-10,5.450507664e-11,9.989325527e-06
146,4.205849461e-09,2.993292783e-09,5.427518821e-10,5.449422911e-11,9.525279941e-06
147,4.010933674e-09,2.993157725e-09,5.427522793e-10,5.448399663e-11,9.082768223e-06
148,3.825006609e-09,2.993029214e-09,5.427526496e-10,5.447428911e-11,8.660795189e-06
149,3.64766413e-09,2.99290692e-09,5.42752995e-10,5.446504671e-11,8.258411044e-06
150,3.478517529e-09,2.992790532e-09,5.427533172e-10,5.445621603e-11,7.874709407e-06
151,3.317193714e-09,2.992679755e-09,5.42753618e-10,5.444775942e-11,7.508825398e-06
152,3.163335139e-09,2.992574308e-09,5.427538989e-10,5.443965366e-11,7.159933803e-06
153,3.016599551e-09,2.992473927e-09,5.427541613e-10,5.443187581e-11,6.827247312e-06
154,2.876659628e-09,2.992378362e-09,5.427544065e-10,5.442440745e-11,6.510014816e-06
155,2.743202531e-09,2.992287373e-09,5.427546358e-10,5.441723814e-11,6.207519785e-06
156,2.615929415e-09,2.992200735e-09,5.427548502e-10,5.441035027e-11,5.919078705e-06
157,2.494554903e-09,2.992118235e-09,5.427550509e-10,5.440373955e-11,5.644039586e-06
158,2.378806562e-09,2.992039669e-09,5.427552388e-10,5.439739386e-11,5.38178053e-06
159,2.268424367e-09,2.991964846e-09,5.427554147e-10,5.439130257e-11,5.131708364e-06
160,2.163160181e-09,2.991893582e-09,5.427555796e-10,5.438546143e-11,4.893257329e-06
161,2.062777236e-09,2.991825704e-09,5.427557341e-10,5.437986067e-11,4.665887831e-06
162,1.967049635e-09,2.991761047e-09,5.42755879e-10,5.437449496e-11,4.44908524e-06
163,1.875761872e-09,2.991699456e-09,5.427560149e-10,5.436935719e-11,4.242358752e-06
164,1.788708362e-09,2.991640781e-09,5.427561425e-10,5.436443811e-11,4.045240292e-06
165,1.705692995e-09,2.991584883e-09,5.427562624e-10,5.435973153e-11,3.857283474e-06
166,1.626528709e-09,2.991531627e-09,5.427563749e-10,5.435523216e-11,3.678062602e-06
167,1.551037073e-09,2.991480886e-09,5.427564807e-10,5.435093379e-11,3.507171718e-06
