y,u
0.015625,-0.01201661024
0.046875,-0.03269234782
0.078125,-0.05097297404
0.109375,-0.0674931108
0.140625,-0.08274587234
0.171875,-0.09710345759
0.203125,-0.110815359
0.234375,-0.1240117267
0.265625,-0.1367041162
0.296875,-0.1487738324
0.328125,-0.15998406
0.359375,-0.1699854655
0.390625,-0.1783253497
0.421875,-0.1844665083
0.453125,-0.187813523
0.484375,-0.1877503769
0.515625,-0.1836811733
0.546875,-0.1750836423
0.578125,-0.1615508526
0.609375,-0.1428285348
0.640625,-0.1188413467
0.671875,-0.08963670386
0.703125,-0.05524009157
0.734375,-0.01544997906
0.765625,0.03048561297
0.796875,0.08448471702
0.828125,0.1501629153
0.859375,0.2331111886
0.890625,0.3410749567
0.921875,0.4830499474
0.953125,0.6657372685
0.984375,0.8854540855
