x,v
0.015625,0.02831593274
0.046875,0.07340117182
0.078125,0.1076673429
0.109375,0.1323950906
0.140625,0.1490708567
0.171875,0.159138095
0.203125,0.1638459359
0.234375,0.164185036
0.265625,0.1608827416
0.296875,0.154431598
0.328125,0.1451328069
0.359375,0.1331432978
0.390625,0.118520857
0.421875,0.1012658519
0.453125,0.08136020174
0.484375,0.05880539155
0.515625,0.03366190383
0.546875,0.006094075045
0.578125,-0.02359449325
0.609375,-0.05499214952
0.640625,-0.08756790884
0.671875,-0.1204236549
0.703125,-0.152263323
0.734375,-0.1813413561
0.765625,-0.2054225747
0.796875,-0.2217930127
0.828125,-0.2273849186
0.859375,-0.2191190256
0.890625,-0.1945934554
0.921875,-0.1531943933
0.953125,-0.09729064578
0.984375,-0.03258647188
